,hour,trips,service
0,0.0,44033,bay
1,1.0,27362,bay
2,2.0,18336,bay
3,3.0,10853,bay
4,4.0,12814,bay
5,5.0,37510,bay
6,6.0,133750,bay
7,7.0,349914,bay
8,8.0,674354,bay
9,9.0,540570,bay
10,10.0,319918,bay
11,11.0,322703,bay
12,12.0,366814,bay
13,13.0,368287,bay
14,14.0,363830,bay
15,15.0,409316,bay
16,16.0,563498,bay
17,17.0,795700,bay
18,18.0,631682,bay
19,19.0,402659,bay
20,20.0,258589,bay
21,21.0,181287,bay
22,22.0,124150,bay
23,23.0,76242,bay
0,0.0,84383,blue
1,1.0,55060,blue
2,2.0,33312,blue
3,3.0,13773,blue
4,4.0,14431,blue
5,5.0,57825,blue
6,6.0,195205,blue
7,7.0,502241,blue
8,8.0,845898,blue
9,9.0,538949,blue
10,10.0,417552,blue
11,11.0,469302,blue
12,12.0,553268,blue
13,13.0,558522,blue
14,14.0,559892,blue
15,15.0,629208,blue
16,16.0,860201,blue
17,17.0,1117416,blue
18,18.0,857534,blue
19,19.0,605378,blue
20,20.0,413519,blue
21,21.0,294569,blue
22,22.0,217094,blue
23,23.0,141469,blue
0,0.0,248909,capital
1,1.0,144360,capital
2,2.0,91279,capital
3,3.0,45631,capital
4,4.0,37806,capital
5,5.0,167072,capital
6,6.0,561169,capital
7,7.0,1437237,capital
8,8.0,2285403,capital
9,9.0,1402824,capital
10,10.0,1142244,capital
11,11.0,1353948,capital
12,12.0,1607792,capital
13,13.0,1619127,capital
14,14.0,1581157,capital
15,15.0,1731086,capital
16,16.0,2133610,capital
17,17.0,3025099,capital
18,18.0,2584505,capital
19,19.0,1795730,capital
20,20.0,1252829,capital
21,21.0,918124,capital
22,22.0,672223,capital
23,23.0,428532,capital
0,0.0,1035914,citi
1,1.0,583509,citi
2,2.0,344141,citi
3,3.0,214223,citi
4,4.0,212152,citi
5,5.0,659181,citi
6,6.0,2309148,citi
7,7.0,4794830,citi
8,8.0,8266567,citi
9,9.0,6715123,citi
10,10.0,4963422,citi
11,11.0,5303040,citi
12,12.0,6174318,citi
13,13.0,6521850,citi
14,14.0,6766613,citi
15,15.0,7149518,citi
16,16.0,8186587,citi
17,17.0,10879932,citi
18,18.0,10352988,citi
19,19.0,7330717,citi
20,20.0,4932163,citi
21,21.0,3423791,citi
22,22.0,2580917,citi
23,23.0,1750432,citi
0,0.0,182547,divvy
1,1.0,110049,divvy
2,2.0,65424,divvy
3,3.0,39034,divvy
4,4.0,45554,divvy
5,5.0,189789,divvy
6,6.0,633121,divvy
7,7.0,1373963,divvy
8,8.0,1770724,divvy
9,9.0,1046913,divvy
10,10.0,987139,divvy
11,11.0,1257127,divvy
12,12.0,1458583,divvy
13,13.0,1478418,divvy
14,14.0,1470700,divvy
15,15.0,1676954,divvy
16,16.0,2318892,divvy
17,17.0,2896140,divvy
18,18.0,2034938,divvy
19,19.0,1377973,divvy
20,20.0,912197,divvy
21,21.0,654094,divvy
22,22.0,484475,divvy
23,23.0,309122,divvy
